hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166974
sparsity;0.53668022
a-priori fpp;0.00045692
fpp;0.00045584
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
156;200;1818;3;1823;0.90990615;0.91286927;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
157;198;1803;4;1800;0.91162592;0.91093117;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
158;196;1788;1;1811;0.91333157;0.92445123;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
159;194;1774;2;1764;0.91502291;0.91021669;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
160;192;1758;2;1748;0.91669989;0.91136599;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
161;190;1743;3;1730;0.91836244;0.91196626;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
162;188;1728;3;1720;0.92001045;0.91635591;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
163;186;1713;1;1708;0.92164385;0.91877353;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
164;184;1697;1;1709;0.92326254;0.92930943;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
165;182;1682;3;1671;0.92486644;0.91964775;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
166;180;1666;1;1668;0.92645544;0.92718178;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
167;178;1650;2;1644;0.92802948;0.92463440;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
168;176;1635;2;1618;0.92958844;0.92036402;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
169;174;1619;1;1607;0.93113226;0.92409432;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
170;172;1603;1;1587;0.93266088;0.92321116;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
171;170;1587;1;1595;0.93417418;0.93878752;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
172;168;1571;1;1561;0.93567210;0.92972004;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
173;166;1554;2;1564;0.93715453;0.94330519;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
174;164;1538;1;1532;0.93862140;0.93471628;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
175;162;1522;0;1524;0.94007266;0.94074076;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
176;160;1505;1;1518;0.94150817;0.94934332;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
177;158;1489;2;1475;0.94292790;0.93472749;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
178;156;1472;2;1472;0.94433177;0.94480103;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
179;154;1455;1;1446;0.94571972;0.93957114;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
180;152;1439;0;1445;0.94709158;0.95065790;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
181;150;1422;2;1414;0.94844741;0.94392526;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
