hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166166
sparsity;0.53590965
a-priori fpp;0.00045692
fpp;0.00046347
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
87;338;2574;7;2547;0.76279396;0.75511414;0.00000006;0.00000006;0.00000056;0.00019062;0.00000078;0.99980938
88;336;2567;4;2585;0.76524210;0.77026224;0.00000006;0.00000006;0.00000051;0.00017082;0.00000041;0.99982917
89;334;2560;5;2550;0.76768351;0.76461768;0.00000005;0.00000005;0.00000046;0.00015295;0.00000052;0.99984705
90;332;2553;6;2526;0.77011800;0.76222086;0.00000005;0.00000005;0.00000041;0.00013683;0.00000058;0.99986315
91;330;2545;8;2554;0.77254546;0.77582020;0.00000004;0.00000004;0.00000037;0.00012231;0.00000032;0.99987769
92;328;2538;3;2568;0.77496582;0.78364360;0.00000004;0.00000004;0.00000033;0.00010923;0.00000022;0.99989074
93;326;2530;8;2530;0.77737892;0.77798277;0.00000003;0.00000003;0.00000030;0.00009747;0.00000029;0.99990255
94;324;2523;2;2532;0.77978468;0.78196418;0.00000003;0.00000003;0.00000027;0.00008690;0.00000024;0.99991310
95;322;2515;4;2523;0.78218293;0.78451490;0.00000003;0.00000003;0.00000024;0.00007741;0.00000022;0.99992257
96;320;2507;5;2507;0.78457361;0.78466356;0.00000003;0.00000003;0.00000022;0.00006889;0.00000021;0.99993110
97;318;2499;5;2540;0.78695661;0.80000001;0.00000002;0.00000002;0.00000019;0.00006125;0.00000010;0.99993873
98;316;2491;8;2485;0.78933173;0.78838831;0.00000002;0.00000002;0.00000017;0.00005441;0.00000018;0.99994558
99;314;2482;3;2501;0.79169899;0.79725856;0.00000002;0.00000002;0.00000015;0.00004829;0.00000012;0.99995172
100;312;2474;3;2479;0.79405814;0.79531598;0.00000002;0.00000002;0.00000014;0.00004282;0.00000013;0.99995720
101;310;2465;3;2498;0.79640919;0.80658704;0.00000001;0.00000002;0.00000012;0.00003793;0.00000007;0.99996209
102;308;2457;6;2467;0.79875195;0.80253738;0.00000001;0.00000001;0.00000011;0.00003356;0.00000009;0.99996644
103;306;2448;3;2457;0.80108631;0.80372912;0.00000001;0.00000001;0.00000010;0.00002967;0.00000008;0.99997032
104;304;2439;2;2454;0.80341214;0.80776829;0.00000001;0.00000001;0.00000009;0.00002621;0.00000007;0.99997377
105;302;2430;4;2395;0.80572939;0.79409814;0.00000001;0.00000001;0.00000008;0.00002312;0.00000014;0.99997687
106;300;2421;4;2471;0.80803788;0.82476634;0.00000001;0.00000001;0.00000007;0.00002038;0.00000003;0.99997962
107;298;2411;4;2408;0.81033760;0.80913979;0.00000001;0.00000001;0.00000006;0.00001795;0.00000006;0.99998206
108;296;2402;6;2405;0.81262827;0.81415033;0.00000001;0.00000001;0.00000005;0.00001579;0.00000005;0.99998420
109;294;2392;4;2379;0.81490993;0.81028610;0.00000001;0.00000001;0.00000005;0.00001387;0.00000006;0.99998611
110;292;2383;4;2385;0.81718242;0.81790125;0.00000001;0.00000001;0.00000004;0.00001218;0.00000004;0.99998784
111;290;2373;1;2383;0.81944555;0.82200760;0.00000000;0.00000000;0.00000004;0.00001068;0.00000003;0.99998933
112;288;2363;2;2338;0.82169932;0.81236970;0.00000000;0.00000000;0.00000003;0.00000935;0.00000005;0.99999064
113;286;2353;2;2313;0.82394361;0.80930722;0.00000000;0.00000000;0.00000003;0.00000818;0.00000006;0.99999183
114;284;2343;6;2358;0.82617819;0.83203954;0.00000000;0.00000000;0.00000003;0.00000715;0.00000002;0.99999285
115;282;2333;4;2355;0.82840312;0.83629262;0.00000000;0.00000000;0.00000002;0.00000624;0.00000001;0.99999374
116;280;2323;1;2319;0.83061814;0.82851017;0.00000000;0.00000000;0.00000002;0.00000544;0.00000002;0.99999458
117;278;2312;4;2310;0.83282322;0.83213258;0.00000000;0.00000000;0.00000002;0.00000474;0.00000002;0.99999523
118;276;2302;4;2294;0.83501822;0.83236575;0.00000000;0.00000000;0.00000001;0.00000412;0.00000002;0.99999589
119;274;2291;4;2287;0.83720303;0.83589178;0.00000000;0.00000000;0.00000001;0.00000358;0.00000001;0.99999642
120;272;2280;2;2247;0.83937752;0.82671082;0.00000000;0.00000000;0.00000001;0.00000311;0.00000002;0.99999690
121;270;2269;6;2271;0.84154165;0.84298444;0.00000000;0.00000000;0.00000001;0.00000269;0.00000001;0.99999732
122;268;2258;6;2279;0.84369528;0.85228121;0.00000000;0.00000000;0.00000001;0.00000233;0.00000000;0.99999768
123;266;2247;4;2243;0.84583825;0.84450299;0.00000000;0.00000000;0.00000001;0.00000202;0.00000001;0.99999797
124;264;2236;4;2229;0.84797049;0.84559941;0.00000000;0.00000000;0.00000001;0.00000174;0.00000001;0.99999827
125;262;2224;6;2268;0.85009187;0.86763579;0.00000000;0.00000000;0.00000001;0.00000150;0.00000000;0.99999851
126;260;2213;5;2215;0.85220236;0.85356456;0.00000000;0.00000000;0.00000000;0.00000129;0.00000000;0.99999869
127;258;2201;2;2198;0.85430175;0.85259891;0.00000000;0.00000000;0.00000000;0.00000111;0.00000000;0.99999887
128;256;2190;5;2165;0.85639000;0.84735811;0.00000000;0.00000000;0.00000000;0.00000096;0.00000001;0.99999905
129;254;2178;3;2158;0.85846698;0.85061097;0.00000000;0.00000000;0.00000000;0.00000082;0.00000001;0.99999917
130;252;2166;2;2180;0.86053258;0.86576647;0.00000000;0.00000000;0.00000000;0.00000070;0.00000000;0.99999928
131;250;2154;2;2166;0.86258674;0.86709368;0.00000000;0.00000000;0.00000000;0.00000060;0.00000000;0.99999940
132;248;2142;2;2111;0.86462927;0.85189670;0.00000000;0.00000000;0.00000000;0.00000051;0.00000001;0.99999946
133;246;2129;1;2133;0.86666006;0.86742580;0.00000000;0.00000000;0.00000000;0.00000044;0.00000000;0.99999958
134;244;2117;4;2119;0.86867911;0.86986864;0.00000000;0.00000000;0.00000000;0.00000037;0.00000000;0.99999964
135;242;2105;4;2108;0.87068623;0.87251657;0.00000000;0.00000000;0.00000000;0.00000032;0.00000000;0.99999970
136;240;2092;5;2101;0.87268138;0.87724423;0.00000000;0.00000000;0.00000000;0.00000027;0.00000000;0.99999970
137;238;2079;3;2048;0.87466443;0.86159027;0.00000000;0.00000000;0.00000000;0.00000023;0.00000000;0.99999976
138;236;2067;4;2105;0.87663519;0.89346349;0.00000000;0.00000000;0.00000000;0.00000019;0.00000000;0.99999982
139;234;2054;2;2067;0.87859368;0.88408899;0.00000000;0.00000000;0.00000000;0.00000016;0.00000000;0.99999982
140;232;2041;1;2042;0.88053972;0.88055193;0.00000000;0.00000000;0.00000000;0.00000014;0.00000000;0.99999988
141;230;2027;2;2039;0.88247329;0.88729328;0.00000000;0.00000000;0.00000000;0.00000012;0.00000000;0.99999988
142;228;2014;1;2046;0.88439423;0.89776218;0.00000000;0.00000000;0.00000000;0.00000010;0.00000000;0.99999988
