hash_family;0
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167200
sparsity;0.53689575
a-priori fpp;0.00045692
fpp;0.00045372
a-priori safeness probability;0.03131089
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
194;275;2366;4;2361;0.86155081;0.85979605;0.00000000;0.00000000;0.00000000;0.00000071;0.00000000;0.99999928
195;249;2148;3;2104;0.86359912;0.84599918;0.00000000;0.00000000;0.00000000;0.00000056;0.00000001;0.99999946
196;246;2127;5;2086;0.86562759;0.84969449;0.00000000;0.00000000;0.00000000;0.00000047;0.00000001;0.99999952
197;238;2063;3;2043;0.86759454;0.85948676;0.00000000;0.00000000;0.00000000;0.00000039;0.00000000;0.99999958
198;233;2024;5;2039;0.86952454;0.87698925;0.00000000;0.00000000;0.00000000;0.00000033;0.00000000;0.99999964
199;266;2316;3;2322;0.87173313;0.87391794;0.00000000;0.00000000;0.00000000;0.00000032;0.00000000;0.99999970
200;271;2365;5;2346;0.87398899;0.86728281;0.00000000;0.00000000;0.00000000;0.00000027;0.00000000;0.99999970
201;254;2223;4;2242;0.87610865;0.88406938;0.00000000;0.00000000;0.00000000;0.00000022;0.00000000;0.99999976
202;238;2088;2;2095;0.87809944;0.88099241;0.00000000;0.00000000;0.00000000;0.00000017;0.00000000;0.99999982
203;263;2312;1;2328;0.88030463;0.88550782;0.00000000;0.00000000;0.00000000;0.00000016;0.00000000;0.99999982
204;246;2168;3;2141;0.88237232;0.87138790;0.00000000;0.00000000;0.00000000;0.00000012;0.00000000;0.99999988
205;273;2412;5;2393;0.88467258;0.87816513;0.00000000;0.00000000;0.00000000;0.00000011;0.00000000;0.99999988
206;277;2454;3;2403;0.88701266;0.86844957;0.00000000;0.00000000;0.00000000;0.00000009;0.00000000;0.99999988
207;246;2185;5;2178;0.88909608;0.88716906;0.00000000;0.00000000;0.00000000;0.00000007;0.00000000;0.99999994
208;241;2145;1;2158;0.89114189;0.89580739;0.00000000;0.00000000;0.00000000;0.00000006;0.00000000;0.99999994
209;246;2195;1;2182;0.89323503;0.88735259;0.00000000;0.00000000;0.00000000;0.00000005;0.00000000;0.99999994
210;235;2101;2;2121;0.89523911;0.90332198;0.00000000;0.00000000;0.00000000;0.00000004;0.00000000;0.99999994
211;247;2214;4;2238;0.89735043;0.90754259;0.00000000;0.00000000;0.00000000;0.00000003;0.00000000;0.99999994
212;269;2417;4;2416;0.89965540;0.89947879;0.00000000;0.00000000;0.00000000;0.00000003;0.00000000;1.00000000
213;245;2207;2;2205;0.90175992;0.90073532;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
214;261;2357;3;2371;0.90400726;0.90947449;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
215;253;2290;4;2303;0.90619111;0.91171813;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
216;257;2332;0;2332;0.90841484;0.90739298;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
217;268;2438;2;2463;0.91073960;0.91971618;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
218;238;2170;3;2166;0.91280907;0.91123265;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
219;287;2623;5;2634;0.91531092;0.91937172;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
