hash_family;5
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167023
sparsity;0.53672695
a-priori fpp;0.00045692
fpp;0.00045538
a-priori safeness probability;0.03130724
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
133;256;1898;4;1877;0.74241143;0.73435056;0.00000009;0.00000009;0.00000129;0.00032923;0.00000175;0.99967080
134;256;1903;3;1903;0.74422616;0.74423152;0.00000009;0.00000009;0.00000120;0.00030676;0.00000120;0.99969327
135;256;1908;2;1915;0.74604535;0.74863172;0.00000008;0.00000008;0.00000112;0.00028563;0.00000101;0.99971443
136;256;1912;5;1900;0.74786896;0.74363995;0.00000008;0.00000008;0.00000104;0.00026577;0.00000123;0.99973428
137;256;1917;5;1961;0.74969703;0.76751471;0.00000007;0.00000008;0.00000097;0.00024712;0.00000046;0.99975294
138;256;1922;0;1956;0.75152963;0.76406252;0.00000007;0.00000007;0.00000090;0.00022961;0.00000053;0.99977040
139;256;1926;5;1933;0.75336665;0.75655580;0.00000006;0.00000006;0.00000083;0.00021319;0.00000073;0.99978685
140;256;1931;3;1881;0.75520819;0.73562771;0.00000006;0.00000006;0.00000077;0.00019779;0.00000167;0.99980223
141;256;1936;3;1961;0.75705421;0.76691437;0.00000006;0.00000006;0.00000072;0.00018337;0.00000047;0.99981666
142;256;1940;4;1936;0.75890470;0.75743347;0.00000005;0.00000005;0.00000066;0.00016987;0.00000071;0.99983013
143;256;1945;4;1951;0.76075977;0.76330203;0.00000005;0.00000005;0.00000061;0.00015725;0.00000055;0.99984276
144;256;1950;2;1958;0.76261938;0.76544178;0.00000005;0.00000005;0.00000057;0.00014544;0.00000050;0.99985456
145;256;1955;2;1966;0.76448351;0.76856917;0.00000004;0.00000004;0.00000053;0.00013442;0.00000044;0.99986559
146;256;1959;3;1953;0.76635224;0.76378566;0.00000004;0.00000004;0.00000048;0.00012412;0.00000054;0.99987590
147;256;1964;3;1938;0.76822549;0.75791943;0.00000004;0.00000004;0.00000045;0.00011452;0.00000069;0.99988550
148;256;1969;2;1946;0.77010334;0.76075059;0.00000003;0.00000003;0.00000041;0.00010558;0.00000061;0.99989444
149;256;1974;1;1991;0.77198577;0.77803832;0.00000003;0.00000003;0.00000038;0.00009724;0.00000029;0.99990278
